Neighbourhood,City,Property_Type,Room_Type,Accommodates,Bathrooms,Bedrooms,Beds,Price,Guests_Included,Extra_People,Minimum_Nights,Maximum_Nights
Bernal Heights,San Francisco,Apartment,Entire home/apt,8,1,3,3,800,1,0,3,1125
Bernal Heights,San Francisco,House,Entire home/apt,4,1,2,3,150,1,0,2,4
Bernal Heights,San Francisco,House,Entire home/apt,4,2,2,2,187,2,20,3,1125
Chinatown,San Francisco,Apartment,Entire home/apt,5,1,1,2,200,1,0,1,1125
Chinatown,San Francisco,Timeshare,Entire home/apt,2,1,0,1,122,1,0,1,9
Chinatown,San Francisco,Condominium,Entire home/apt,2,1,0,1,210,1,0,1,1125
Downtown/Civic Center,San Francisco,Condominium,Entire home/apt,4,1,1,2,175,1,0,2,3
Downtown/Civic Center,San Francisco,Apartment,Private room,2,1,1,2,75,1,0,1,21
Downtown/Civic Center,San Francisco,Apartment,Entire home/apt,4,1,2,2,220,1,0,1,1125
Downtown/Civic Center,San Francisco,Guesthouse,Private room,2,1,1,2,125,1,0,2,1125
Downtown/Civic Center,San Francisco,Dorm,Private room,2,0,0,1,70,1,0,1,21
Downtown/Civic Center,San Francisco,Apartment,Entire home/apt,4,1,1,1,300,1,0,1,4
Downtown/Civic Center,San Francisco,Apartment,Entire home/apt,4,1,1,1,165,1,0,2,1125
Downtown/Civic Center,San Francisco,House,Entire home/apt,14,7,7,14,99,1,99,1,1125
Downtown/Civic Center,San Francisco,Condominium,Entire home/apt,6,2,2,3,395,1,0,2,1125
Downtown/Civic Center,San Francisco,Apartment,Entire home/apt,2,1,0,1,156,1,0,2,1125
Downtown/Civic Center,San Francisco,Condominium,Entire home/apt,3,1,1,2,200,2,50,2,30
Downtown/Civic Center,San Francisco,Apartment,Shared room,1,1,1,1,20,1,0,12,12
Downtown/Civic Center,San Francisco,Timeshare,Entire home/apt,6,2,3,3,565,1,0,2,1125
Downtown/Civic Center,San Francisco,Apartment,Entire home/apt,2,1,0,1,100,1,0,1,90
Diamond Heights,San Francisco,House,Entire home/apt,5,3,3,2,375,6,75,2,1125
Diamond Heights,San Francisco,House,Private room,2,1.5,1,1,95,1,0,3,14
Lakeshore,San Francisco,Townhouse,Entire home/apt,3,1,1,2,150,1,0,2,4
Lakeshore,San Francisco,Apartment,Private room,2,,1,,283,1,0,1,1125
Lakeshore,San Francisco,Apartment,Entire home/apt,4,1,1,2,200,2,25,2,10
Russian Hill,San Francisco,Apartment,Entire home/apt,1,1,1,1,180,1,100,5,21
Russian Hill,San Francisco,Condominium,Private room,3,1,1,1,350,1,0,4,1125
Russian Hill,San Francisco,Apartment,Entire home/apt,6,2,2,3,399,4,25,3,1125
Russian Hill,San Francisco,Condominium,Private room,4,1.5,1,1,109,1,40,2,30
Mission,San Francisco,Apartment,Entire home/apt,2,1,0,1,115,1,0,5,1125
Mission,San Francisco,House,Entire home/apt,6,2,4,4,575,6,0,4,30
Mission,San Francisco,Cabin,Entire home/apt,2,1,0,1,159,1,0,1,30
Mission,San Francisco,House,Private room,2,1,1,1,155,2,25,3,27
Mission,San Francisco,Apartment,Private room,2,1.5,1,1,115,1,0,1,1125
Mission,San Francisco,Condominium,Entire home/apt,4,2,2,2,450,1,0,2,10
Mission,San Francisco,Apartment,Private room,2,1,1,1,80,1,0,1,1125
Mission,San Francisco,Apartment,Private room,2,1,1,1,110,1,0,1,5
Mission,San Francisco,House,Private room,2,1,1,1,99,1,0,2,14
Mission,San Francisco,Apartment,Entire home/apt,2,1,1,1,115,1,0,7,1125
Mission,San Francisco,Apartment,Shared room,1,1,1,1,100,1,0,1,1125
Mission,San Francisco,Apartment,Entire home/apt,3,1,1,1,98,1,5,30,70
Mission,San Francisco,Apartment,Entire home/apt,4,3,2,2,300,4,50,3,1125
Mission,San Francisco,House,Private room,2,2,1,1,99,1,10,1,1125
Mission,San Francisco,Apartment,Private room,2,1,1,1,90,1,0,1,10
Mission,San Francisco,House,Private room,2,2,1,1,105,1,10,1,150
Mission,San Francisco,Apartment,Private room,2,1,1,1,85,1,0,1,1125
Mission,San Francisco,House,Entire home/apt,5,1,2,3,180,4,20,3,4
Mission,San Francisco,House,Entire home/apt,5,1.5,2,2,450,4,0,2,20
Mission,San Francisco,Apartment,Entire home/apt,2,1,1,1,128,1,0,4,1125
Mission,San Francisco,Apartment,Entire home/apt,2,1,1,1,200,2,50,2,1125
Mission,San Francisco,Apartment,Entire home/apt,2,1,0,1,120,2,0,1,1125
Mission,San Francisco,Apartment,Private room,2,1,1,1,125,1,10,1,21
Mission,San Francisco,Apartment,Entire home/apt,3,1,1,2,160,1,30,4,30
Mission,San Francisco,Apartment,Private room,1,1,1,1,109,1,0,3,30
Mission,San Francisco,Apartment,Private room,2,1,1,1,200,1,0,2,1125
Mission,San Francisco,Apartment,Entire home/apt,4,1.5,2,2,299,1,0,2,1125
Mission,San Francisco,House,Private room,1,1,1,1,60,1,0,4,1125
Mission,San Francisco,House,Private room,4,1,1,2,220,2,15,1,1125
West of Twin Peaks,San Francisco,Other,Private room,2,1,1,1,110,1,0,2,7
West of Twin Peaks,San Francisco,House,Private room,4,1,1,2,125,2,40,2,1125
West of Twin Peaks,San Francisco,Apartment,Private room,2,1,1,1,115,1,0,30,90
Inner Richmond,San Francisco,House,Private room,2,1,1,1,65,1,20,1,90
Inner Richmond,San Francisco,House,Entire home/apt,8,1.5,3,3,400,1,0,3,1125
Inner Richmond,San Francisco,House,Private room,2,1.5,1,1,115,1,0,3,28
Inner Richmond,San Francisco,Apartment,Entire home/apt,2,1,1,1,140,1,0,2,1125
Inner Richmond,San Francisco,Apartment,Private room,2,1,1,1,68,1,0,1,7
Inner Richmond,San Francisco,Condominium,Entire home/apt,6,2,3,4,450,1,0,3,1125
Inner Richmond,San Francisco,House,Entire home/apt,6,2.5,4,5,300,1,0,5,7
Inner Richmond,San Francisco,Apartment,Entire home/apt,5,1,2,2,125,4,20,30,302
Inner Richmond,San Francisco,Apartment,Entire home/apt,2,1,0,1,164,1,0,2,1125
Inner Richmond,San Francisco,House,Entire home/apt,6,1.5,3,3,489,1,0,1,1125
Marina,San Francisco,Apartment,Entire home/apt,2,1,1,1,189,1,0,1,1125
Marina,San Francisco,Apartment,Private room,2,1,1,1,150,1,25,1,1125
Marina,San Francisco,Apartment,Entire home/apt,2,1,1,1,150,1,0,3,60
Marina,San Francisco,Apartment,Private room,1,1.5,1,1,100,1,20,2,5
Marina,San Francisco,Apartment,Entire home/apt,2,1,1,1,500,1,0,4,1125
Marina,San Francisco,Apartment,Private room,2,1,1,1,100,1,0,1,8
Marina,San Francisco,Apartment,Private room,1,1,1,2,250,1,0,4,4
Bayview,San Francisco,House,Private room,2,1,1,1,89,2,65,29,365
South of Market,San Francisco,Condominium,Entire home/apt,1,1,0,1,160,1,0,3,1125
South of Market,San Francisco,Apartment,Entire home/apt,2,1,1,1,190,1,0,3,1125
Glen Park,San Francisco,Apartment,Entire home/apt,4,1,2,2,178,4,75,28,180
Potrero Hill,San Francisco,Apartment,Entire home/apt,2,1,1,1,280,1,0,4,30
Potrero Hill,San Francisco,Apartment,Entire home/apt,1,1,0,1,290,1,0,1,1125
Potrero Hill,San Francisco,House,Entire home/apt,4,1,1,2,175,2,75,3,29
Potrero Hill,San Francisco,House,Entire home/apt,2,1,1,1,175,1,0,3,1125
Potrero Hill,San Francisco,Apartment,Private room,2,1,1,1,85,1,0,14,1125
Potrero Hill,San Francisco,Loft,Private room,3,1.5,1,2,140,1,35,1,21
Potrero Hill,San Francisco,Apartment,Entire home/apt,4,1,1,2,210,1,0,3,25
Potrero Hill,San Francisco,House,Entire home/apt,6,2.5,3,4,400,1,0,7,22
Potrero Hill,San Francisco,House,Entire home/apt,3,1,2,2,135,2,50,30,1125
Potrero Hill,San Francisco,Apartment,Entire home/apt,6,1,3,3,600,1,0,3,1125
Potrero Hill,San Francisco,Apartment,Entire home/apt,2,1,1,1,180,1,0,1,1125
Potrero Hill,San Francisco,Townhouse,Entire home/apt,4,1,2,2,159,1,0,2,1125
Potrero Hill,San Francisco,Apartment,Entire home/apt,4,1,1,2,855,1,0,2,7
Potrero Hill,San Francisco,Apartment,Entire home/apt,2,1,1,1,105,1,0,1,5
Castro/Upper Market,San Francisco,Apartment,Entire home/apt,5,1,2,3,270,4,35,30,365
Castro/Upper Market,San Francisco,Condominium,Entire home/apt,7,2,4,4,480,1,0,3,1125
Castro/Upper Market,San Francisco,House,Private room,2,1,1,1,145,1,0,2,1125
Castro/Upper Market,San Francisco,Apartment,Private room,1,1,1,1,220,1,0,1,4
Castro/Upper Market,San Francisco,House,Entire home/apt,4,3,2,2,495,1,0,1,365
Chinatown,San Francisco,House,Shared room,1,,1,,29,1,0,2,1125
North Beach,San Francisco,Apartment,Entire home/apt,4,1,2,2,250,3,0,3,1125
North Beach,San Francisco,Apartment,Entire home/apt,2,1,1,1,180,1,0,9,20
North Beach,San Francisco,Apartment,Private room,1,1.5,1,1,60,1,0,2,1125
North Beach,San Francisco,Apartment,Private room,2,1,1,1,110,1,0,1,1125
North Beach,San Francisco,Bed & Breakfast,Shared room,4,0,1,4,38,1,47,1,1125
Nob Hill,San Francisco,Apartment,Shared room,3,1,1,2,159,1,25,2,20
Nob Hill,San Francisco,Apartment,Entire home/apt,2,1,1,1,400,1,0,2,7
Nob Hill,San Francisco,Apartment,Entire home/apt,2,1,0,1,140,1,0,2,1125
Nob Hill,San Francisco,Apartment,Private room,2,1,1,1,70,1,0,7,28
Nob Hill,San Francisco,Apartment,Entire home/apt,6,1,3,3,250,4,25,3,20
Nob Hill,San Francisco,House,Entire home/apt,8,2.5,4,4,495,7,50,3,14
Nob Hill,San Francisco,Apartment,Entire home/apt,2,1,1,1,180,1,25,1,1125
Nob Hill,San Francisco,Apartment,Private room,2,1,1,2,130,1,0,30,1125
Nob Hill,San Francisco,Apartment,Entire home/apt,2,1,1,1,110,1,0,2,21
Nob Hill,San Francisco,Apartment,Entire home/apt,2,1,1,1,140,1,0,15,760
Russian Hill,San Francisco,House,Entire home/apt,8,2.5,4,5,775,1,0,3,1125
Russian Hill,San Francisco,Apartment,Private room,1,1,1,1,125,1,0,1,25
Russian Hill,San Francisco,Apartment,Private room,2,1.5,1,1,82,1,0,1,1125
Russian Hill,San Francisco,Apartment,Private room,2,1.5,1,1,92,1,0,2,7
Noe Valley,San Francisco,Apartment,Private room,2,1,1,1,110,1,0,30,1125
Noe Valley,San Francisco,House,Private room,2,1,1,1,85,1,0,1,1125
Noe Valley,San Francisco,Apartment,Entire home/apt,2,1,0,1,139,1,0,3,29
Noe Valley,San Francisco,House,Private room,2,1,1,1,109,1,25,25,25
Noe Valley,San Francisco,House,Entire home/apt,8,2.5,3,3,300,1,35,3,365
Noe Valley,San Francisco,Apartment,Private room,1,1,1,1,99,1,90,3,1125
Noe Valley,San Francisco,House,Private room,3,4.5,1,1,100,2,45,30,1125
Noe Valley,San Francisco,Apartment,Entire home/apt,4,1,1,2,275,2,15,30,120
Noe Valley,San Francisco,House,Entire home/apt,6,2,3,4,299,6,0,2,30
Noe Valley,San Francisco,House,Entire home/apt,2,1,1,1,130,2,20,3,21
Noe Valley,San Francisco,Apartment,Private room,1,1,2,1,90,1,0,2,1125
Noe Valley,San Francisco,Apartment,Private room,2,1,1,1,119,1,29,10,90
Noe Valley,San Francisco,Apartment,Entire home/apt,5,1,3,3,200,1,0,2,1125
Inner Sunset,San Francisco,House,Private room,2,1,1,1,139,1,0,2,29
Inner Sunset,San Francisco,Apartment,Entire home/apt,1,1,1,1,139,1,0,3,15
Inner Sunset,San Francisco,House,Private room,2,1,1,1,65,1,20,7,60
Inner Sunset,San Francisco,Apartment,Entire home/apt,3,1,2,2,140,1,0,1,7
Inner Sunset,San Francisco,Apartment,Entire home/apt,2,1,1,1,185,2,0,3,29
Inner Sunset,San Francisco,Apartment,Private room,2,1,1,1,72,1,0,1,1125
Inner Sunset,San Francisco,Apartment,Entire home/apt,4,1,2,2,325,4,25,2,1125
Inner Sunset,San Francisco,Apartment,Entire home/apt,3,1,1,2,75,1,7,15,365
Inner Sunset,San Francisco,Apartment,Entire home/apt,2,1,1,1,115,1,0,7,1125
Outer Richmond,San Francisco,Apartment,Entire home/apt,6,1,0,3,195,1,0,2,1125
Outer Richmond,San Francisco,Apartment,Entire home/apt,2,1,0,1,109,1,0,1,14
Outer Richmond,San Francisco,House,Private room,2,1,1,1,100,1,0,1,1125
Outer Richmond,San Francisco,House,Private room,2,1.5,1,1,101,1,0,1,5
Outer Richmond,San Francisco,Apartment,Entire home/apt,2,1,1,1,164,1,0,5,1125
Crocker Amazon,San Francisco,House,Entire home/apt,6,1,4,5,250,5,20,1,1125
Crocker Amazon,San Francisco,House,Entire home/apt,2,1,0,1,109,1,0,2,1125
Excelsior,San Francisco,House,Private room,2,1.5,1,1,45,1,19,2,28
Excelsior,San Francisco,House,Private room,1,1,1,1,75,1,25,7,90
Excelsior,San Francisco,House,Entire home/apt,4,1,2,2,120,3,15,1,21
Excelsior,San Francisco,House,Private room,2,1,1,1,250,1,0,1,1125
Excelsior,San Francisco,House,Private room,2,1,1,1,195,1,0,1,1125
Excelsior,San Francisco,House,Private room,2,1,1,1,50,2,20,2,1125
Parkside,San Francisco,Apartment,Private room,2,1,1,1,69,1,0,4,14
Parkside,San Francisco,House,Entire home/apt,4,2,2,2,155,2,15,3,90
Parkside,San Francisco,House,Private room,2,1,1,1,80,10,10,3,14
Financial District,San Francisco,Apartment,Entire home/apt,4,2,2,2,328,3,0,2,35
Financial District,San Francisco,Apartment,Entire home/apt,1,1,1,1,299,1,0,1,1125
Financial District,San Francisco,Apartment,Private room,4,1,2,2,250,4,35,2,1125
Financial District,San Francisco,Boutique hotel,Private room,2,0,1,1,59,1,0,7,1125
Financial District,San Francisco,Apartment,Shared room,1,1,1,1,10,1,0,1,1125
Ocean View,San Francisco,House,Private room,5,1,1,2,120,2,15,1,1125
Ocean View,San Francisco,House,Entire home/apt,2,1,1,1,108,1,0,2,6
Ocean View,San Francisco,House,Private room,2,1,1,1,125,1,0,1,1125
Mission,San Francisco,Apartment,Shared room,1,1,1,1,75,1,0,1,1125
Mission,San Francisco,House,Entire home/apt,2,1,1,1,97,1,0,30,62
Mission,San Francisco,Condominium,Entire home/apt,3,1.5,1,1,200,2,30,2,1125
Mission,San Francisco,House,Private room,2,2,1,1,65,1,0,1,1125
Mission,San Francisco,Apartment,Private room,2,1,1,1,50,1,0,2,8
Mission,San Francisco,House,Entire home/apt,8,2,3,4,790,1,0,3,1125
Mission,San Francisco,House,Entire home/apt,8,2,4,4,450,5,25,2,200
Inner Richmond,San Francisco,Apartment,Entire home/apt,4,1,1,3,139,2,5,2,1125
Inner Richmond,San Francisco,Apartment,Entire home/apt,12,2,2,6,345,1,0,3,29
Inner Richmond,San Francisco,Apartment,Entire home/apt,6,2,3,4,349,4,0,2,180
Inner Richmond,San Francisco,House,Entire home/apt,3,1,1,1,110,2,10,4,1125
Marina,San Francisco,Apartment,Entire home/apt,4,1,2,2,400,1,0,2,7
Marina,San Francisco,Apartment,Entire home/apt,5,1,2,4,300,1,0,4,14
Marina,San Francisco,Apartment,Entire home/apt,4,1,1,1,122,1,0,1,5
Marina,San Francisco,House,Entire home/apt,2,1,1,1,225,2,50,2,1125
Marina,San Francisco,Apartment,Private room,1,1,1,1,200,1,0,1,1125
Marina,San Francisco,Condominium,Entire home/apt,2,1,1,1,214,1,0,2,1125
Marina,San Francisco,Apartment,Entire home/apt,3,1,1,1,250,1,0,1,7
South of Market,San Francisco,Apartment,Private room,2,1,1,1,199,1,0,2,10
South of Market,San Francisco,Apartment,Entire home/apt,2,1,1,1,175,2,20,30,365
South of Market,San Francisco,Apartment,Entire home/apt,2,1,1,1,200,1,0,2,1125
South of Market,San Francisco,Apartment,Entire home/apt,3,1,1,1,170,1,0,2,24
South of Market,San Francisco,Apartment,Entire home/apt,2,1,1,1,220,1,20,7,1125
South of Market,San Francisco,Tent,Entire home/apt,2,0,1,1,50,1,0,1,120
South of Market,San Francisco,Apartment,Entire home/apt,2,1,2,1,225,2,30,5,360
South of Market,San Francisco,Apartment,Private room,2,1,1,1,89,1,0,2,4
South of Market,San Francisco,Apartment,Entire home/apt,8,2,2,3,399,2,40,1,1125
South of Market,San Francisco,Apartment,Private room,2,1,1,1,120,1,20,3,1125
South of Market,San Francisco,Apartment,Entire home/apt,4,2,1,3,311,1,0,30,90
South of Market,San Francisco,Apartment,Shared room,1,1,1,1,50,1,0,1,1125
Bayview,San Francisco,House,Private room,3,1.5,1,1,50,2,50,1,360
Bayview,San Francisco,House,Entire home/apt,6,1,2,3,224,1,0,2,26
Bayview,San Francisco,Apartment,Private room,2,1,1,1,56,1,15,5,120
Visitacion Valley,San Francisco,House,Private room,2,1,1,1,65,1,0,1,11111
Visitacion Valley,San Francisco,Apartment,Entire home/apt,2,1,1,1,118,2,75,2,30
Pacific Heights,San Francisco,Apartment,Entire home/apt,6,1,3,4,420,4,35,2,1125
Pacific Heights,San Francisco,Apartment,Entire home/apt,3,1,1,2,170,1,25,3,90
Pacific Heights,San Francisco,Apartment,Entire home/apt,4,1,1,2,189,1,0,2,1125
Pacific Heights,San Francisco,Apartment,Entire home/apt,5,1,2,2,200,1,0,4,1125
Pacific Heights,San Francisco,Apartment,Private room,2,2,1,1,225,1,0,1,1125
Pacific Heights,San Francisco,Bed & Breakfast,Entire home/apt,2,1,0,1,121,1,0,1,1125
Pacific Heights,San Francisco,Apartment,Entire home/apt,4,1.5,2,2,455,1,0,1,1125
Pacific Heights,San Francisco,Bed & Breakfast,Entire home/apt,4,1,1,2,129,1,0,1,1125
Presidio Heights,San Francisco,House,Entire home/apt,10,3.5,3,3,895,6,50,3,1125
South of Market,San Francisco,Apartment,Private room,1,1,1,1,80,1,0,4,1125
South of Market,San Francisco,Townhouse,Entire home/apt,6,1,2,3,299,4,25,1,29
South of Market,San Francisco,Apartment,Shared room,1,1,1,1,69,1,0,7,180
South of Market,San Francisco,Apartment,Entire home/apt,4,1,2,2,325,1,0,2,1125
South of Market,San Francisco,Apartment,Entire home/apt,4,1,2,2,265,2,20,2,1125
South of Market,San Francisco,Apartment,Private room,2,1,1,1,75,1,0,4,1125
Glen Park,San Francisco,Condominium,Entire home/apt,8,3,4,6,600,1,0,3,8
Glen Park,San Francisco,House,Private room,2,1,1,1,140,2,0,2,1125
Glen Park,San Francisco,House,Entire home/apt,6,2,4,4,300,1,0,3,1125
Potrero Hill,San Francisco,House,Entire home/apt,6,2,3,2,480,1,0,2,365
Potrero Hill,San Francisco,House,Private room,2,1,1,1,133,1,0,1,1125
Potrero Hill,San Francisco,House,Entire home/apt,2,1,1,1,549,1,100,2,14
Potrero Hill,San Francisco,House,Entire home/apt,4,1,2,2,175,2,15,4,15
Potrero Hill,San Francisco,Apartment,Private room,2,1,1,1,274,1,0,1,1125
Potrero Hill,San Francisco,Condominium,Entire home/apt,4,2,2,2,895,1,0,2,1125
Potrero Hill,San Francisco,Apartment,Entire home/apt,4,2,0,2,224,1,0,2,1125
Potrero Hill,San Francisco,Apartment,Private room,2,1.5,1,1,79,1,0,3,15
Potrero Hill,San Francisco,House,Private room,2,1,1,1,80,1,20,2,1125
Potrero Hill,San Francisco,House,Private room,2,1,1,1,95,1,15,3,21
Potrero Hill,San Francisco,Apartment,Entire home/apt,3,1,1,1,199,2,75,3,31
Potrero Hill,San Francisco,Apartment,Entire home/apt,4,1,1,2,295,1,0,3,1125
Potrero Hill,San Francisco,House,Entire home/apt,4,2,2,2,370,1,0,3,14
Potrero Hill,San Francisco,Apartment,Private room,2,1,1,1,90,1,25,30,1125
Potrero Hill,San Francisco,Townhouse,Private room,2,1,1,1,88,1,0,2,7
Potrero Hill,San Francisco,Apartment,Entire home/apt,4,2,2,2,199,1,0,1,1125
Mission,San Francisco,Loft,Entire home/apt,2,1,1,1,169,1,0,4,10
Mission,San Francisco,Dorm,Private room,2,1,1,1,72,1,0,3,21
Mission,San Francisco,Condominium,Entire home/apt,3,1,2,2,200,1,0,30,1125
Mission,San Francisco,Apartment,Entire home/apt,4,1,1,2,500,1,0,3,5
Mission,San Francisco,Apartment,Entire home/apt,2,1,0,1,126,1,20,10,1125
Mission,San Francisco,Apartment,Private room,1,1,1,1,103,1,20,2,29
Mission,San Francisco,Apartment,Entire home/apt,3,1,1,1,197,1,0,4,1125
Mission,San Francisco,Apartment,Entire home/apt,4,2,2,2,254,4,0,1,30
West of Twin Peaks,San Francisco,House,Entire home/apt,8,2.5,4,5,600,1,50,1,1125
West of Twin Peaks,San Francisco,House,Entire home/apt,6,3,3,3,299,6,0,3,1125
West of Twin Peaks,San Francisco,House,Private room,1,0.5,1,1,68,1,0,30,365
West of Twin Peaks,San Francisco,Apartment,Private room,2,1,1,1,110,1,0,3,20
West of Twin Peaks,San Francisco,House,Private room,2,1,1,1,285,1,0,1,1125
Inner Richmond,San Francisco,House,Private room,2,1,1,1,120,1,0,3,5
Mission,San Francisco,Apartment,Shared room,2,1,1,1,50,1,0,1,3
Mission,San Francisco,Apartment,Entire home/apt,3,1.5,2,2,207,3,50,5,1125
Mission,San Francisco,Apartment,Entire home/apt,2,1,1,1,200,1,0,3,1125
Mission,San Francisco,Apartment,Entire home/apt,2,1,0,1,140,1,0,3,30
Mission,San Francisco,Apartment,Entire home/apt,7,2,4,4,575,1,0,2,1125
Mission,San Francisco,House,Private room,2,1,1,1,120,1,0,3,1125
Mission,San Francisco,House,Entire home/apt,4,1,2,2,214,2,25,3,1125
Mission,San Francisco,House,Entire home/apt,4,1,3,2,300,1,0,2,1125
Bernal Heights,San Francisco,Condominium,Private room,2,1,1,1,175,1,0,3,28
Bernal Heights,San Francisco,Apartment,Entire home/apt,3,1,2,2,150,1,0,3,30
Bernal Heights,San Francisco,House,Private room,2,1,1,1,135,3,0,3,10
Bernal Heights,San Francisco,Apartment,Entire home/apt,1,1,1,1,100,1,20,2,365
Bernal Heights,San Francisco,Apartment,Entire home/apt,5,2,3,3,280,1,0,4,1125
Bernal Heights,San Francisco,House,Entire home/apt,2,1,1,1,99,1,0,2,14
Bernal Heights,San Francisco,House,Entire home/apt,6,2,3,2,325,5,25,4,6
Bernal Heights,San Francisco,House,Private room,2,1,1,2,99,1,0,5,8
Bernal Heights,San Francisco,House,Entire home/apt,7,2.5,4,6,349,7,25,4,21
Bernal Heights,San Francisco,House,Entire home/apt,7,2.5,4,4,400,1,0,7,1125
Bernal Heights,San Francisco,House,Entire home/apt,6,2.5,3,3,425,1,0,6,20
Bernal Heights,San Francisco,House,Private room,2,1,1,1,109,1,0,2,20
Bernal Heights,San Francisco,House,Private room,1,1,1,1,70,1,0,1,10
Bernal Heights,San Francisco,House,Entire home/apt,2,1,1,1,195,1,0,1,1125
Chinatown,San Francisco,Condominium,Entire home/apt,2,1,0,1,225,1,0,1,1125
Chinatown,San Francisco,Apartment,Entire home/apt,2,1,0,1,800,1,0,1,1125
Chinatown,San Francisco,Apartment,Entire home/apt,3,1,2,2,128,1,0,30,1125
Chinatown,San Francisco,Condominium,Entire home/apt,4,1,1,2,179,1,0,1,1125
Castro/Upper Market,San Francisco,Apartment,Entire home/apt,5,1,2,2,400,4,45,2,60
Castro/Upper Market,San Francisco,Apartment,Entire home/apt,4,1,1,2,500,1,0,4,8
Castro/Upper Market,San Francisco,Apartment,Entire home/apt,4,2.5,2,2,350,1,0,7,14
Castro/Upper Market,San Francisco,House,Private room,2,1,1,1,100,1,10,4,1125
Castro/Upper Market,San Francisco,Apartment,Private room,2,1,1,1,99,1,30,1,90
Castro/Upper Market,San Francisco,Apartment,Private room,2,1,1,1,110,1,40,1,1125
Castro/Upper Market,San Francisco,House,Entire home/apt,3,1,1,1,159,3,0,4,14
Castro/Upper Market,San Francisco,House,Private room,2,1,1,1,99,1,20,1,1125
Castro/Upper Market,San Francisco,Apartment,Private room,2,1,1,1,135,1,0,7,45
Castro/Upper Market,San Francisco,Condominium,Private room,2,1,1,1,120,1,0,2,1125
Castro/Upper Market,San Francisco,Apartment,Entire home/apt,4,2,1,1,200,2,50,2,30
Castro/Upper Market,San Francisco,Apartment,Entire home/apt,2,1,1,1,150,1,0,90,120
Castro/Upper Market,San Francisco,Apartment,Private room,2,1,1,1,75,1,0,2,1125
Castro/Upper Market,San Francisco,House,Entire home/apt,5,3,3,2,380,4,50,4,21
Twin Peaks,San Francisco,House,Private room,3,1,1,1,148,1,0,3,28
Twin Peaks,San Francisco,Apartment,Private room,1,1,1,1,56,1,0,1,1125
Chinatown,San Francisco,Apartment,Entire home/apt,4,1,1,2,375,1,0,1,3
Chinatown,San Francisco,Condominium,Entire home/apt,4,2,1,2,265,1,0,2,1125
North Beach,San Francisco,Apartment,Private room,2,1,1,1,150,1,0,2,1125
North Beach,San Francisco,Lighthouse,Private room,1,2,1,1,55,1,0,7,1125
North Beach,San Francisco,Condominium,Entire home/apt,2,1,0,1,135,1,0,30,1125
North Beach,San Francisco,Bed & Breakfast,Private room,2,0,1,1,95,1,0,1,1125
North Beach,San Francisco,Apartment,Entire home/apt,2,1,1,1,106,2,25,6,25
North Beach,San Francisco,Apartment,Private room,4,1.5,2,2,250,1,0,2,14
Nob Hill,San Francisco,House,Entire home/apt,2,1,1,1,95,1,0,2,7
Nob Hill,San Francisco,Apartment,Entire home/apt,2,1,1,1,225,1,0,1,1125
Nob Hill,San Francisco,Apartment,Entire home/apt,2,1,1,1,199,1,0,2,21
Nob Hill,San Francisco,Apartment,Entire home/apt,2,1,0,1,195,2,20,2,1125
Nob Hill,San Francisco,Apartment,Entire home/apt,2,1,1,2,320,1,0,2,5
Nob Hill,San Francisco,Apartment,Entire home/apt,3,1,1,2,250,1,0,1,2
Nob Hill,San Francisco,House,Entire home/apt,6,2.5,3,3,800,1,0,4,30
Nob Hill,San Francisco,Apartment,Entire home/apt,2,1,1,1,90,1,20,2,25
Nob Hill,San Francisco,Apartment,Private room,4,1,1,2,90,1,0,7,28
Nob Hill,San Francisco,Apartment,Private room,3,2.5,1,1,111,1,0,1,1125
Nob Hill,San Francisco,Apartment,Private room,2,1,1,1,82,1,10,27,180
Nob Hill,San Francisco,Apartment,Private room,2,1,1,1,120,1,20,30,1125
Outer Sunset,San Francisco,Apartment,Entire home/apt,2,1,1,1,109,2,30,1,1125
Outer Sunset,San Francisco,House,Private room,1,1.5,1,1,79,1,0,1,1125
Western Addition,San Francisco,Condominium,Private room,2,1,1,1,165,1,0,1,1125
Western Addition,San Francisco,House,Entire home/apt,4,1,2,2,750,1,0,2,4
Western Addition,San Francisco,Apartment,Entire home/apt,2,1,1,1,179,1,0,2,1125
Western Addition,San Francisco,Apartment,Private room,2,1,1,1,120,1,30,1,1125
Western Addition,San Francisco,Apartment,Entire home/apt,4,1,0,2,150,2,33,2,21
Western Addition,San Francisco,Apartment,Private room,1,1,1,1,100,1,0,3,1125
Western Addition,San Francisco,Apartment,Private room,2,1,1,1,175,1,15,31,32
Western Addition,San Francisco,Apartment,Entire home/apt,2,1,1,1,92,2,10,3,60
Western Addition,San Francisco,Apartment,Entire home/apt,1,1,1,1,90,1,0,10,41
Western Addition,San Francisco,Apartment,Entire home/apt,4,1,2,2,220,1,0,2,3
Western Addition,San Francisco,Apartment,Entire home/apt,2,1,1,1,270,2,75,2,29
Western Addition,San Francisco,Condominium,Shared room,3,1,1,3,85,3,50,4,365
Western Addition,San Francisco,Apartment,Entire home/apt,7,2,4,4,750,1,0,3,14
Western Addition,San Francisco,Apartment,Private room,2,2,1,1,120,2,0,2,29
Western Addition,San Francisco,Apartment,Private room,2,1,1,1,99,1,15,1,10000
Western Addition,San Francisco,Apartment,Entire home/apt,6,2,2,2,400,1,0,1,1125
Western Addition,San Francisco,Apartment,Entire home/apt,2,1,1,1,140,1,0,2,30
